k,q,threads,list_size,time_sec,speedup,efficiency
28,0,1,268435456,54.308500,1.0000,1.0000
28,1,2,268435456,27.948800,1.9431,0.9716
28,2,4,268435456,13.842200,3.9234,0.9809
28,4,16,268435456,3.658700,14.8437,0.9277
28,6,64,268435456,2.049300,26.5010,0.4141
28,8,256,268435456,2.305300,23.5581,0.0920
28,10,1024,268435456,2.846200,19.0811,0.0186
20,0,1,1048576,0.150000,1.0000,1.0000
20,1,2,1048576,0.075600,1.9841,0.9921
20,2,4,1048576,0.040300,3.7221,0.9305
20,4,16,1048576,0.014200,10.5634,0.6602
20,6,64,1048576,0.014700,10.2041,0.1594
20,8,256,1048576,0.045200,3.3186,0.0130
20,10,1024,1048576,0.122900,1.2205,0.0012
12,0,1,4096,0.001700,1.0000,1.0000
12,1,2,4096,0.000900,1.8889,0.9444
12,2,4,4096,0.000900,1.8889,0.4722
12,4,16,4096,0.001400,1.2143,0.0759
12,6,64,4096,0.004300,0.3953,0.0062
12,8,256,4096,0.019700,0.0863,0.0003
12,10,1024,4096,0.095200,0.0179,0.0000
