k,q,threads,list_size,time_sec,qsort_time_sec,error,speedup,efficiency
12,0,1,4096,0.0017,0.0004,0,1.0000,1.0000
12,1,2,4096,0.0009,0.0004,0,1.8889,0.9444
12,2,4,4096,0.0009,0.0004,0,1.8889,0.4722
12,4,16,4096,0.0014,0.0004,0,1.2143,0.0759
12,6,64,4096,0.0043,0.0004,0,0.3953,0.0062
12,8,256,4096,0.0197,0.0004,0,0.0863,0.0003
12,10,1024,4096,0.0952,0.0004,0,0.0179,0.0000
20,0,1,1048576,0.1500,0.1484,0,1.0000,1.0000
20,1,2,1048576,0.0756,0.1480,0,1.9841,0.9921
20,2,4,1048576,0.0403,0.1478,0,3.7221,0.9305
20,4,16,1048576,0.0142,0.1496,0,10.5634,0.6602
20,6,64,1048576,0.0147,0.1490,0,10.2041,0.1594
20,8,256,1048576,0.0452,0.1506,0,3.3186,0.0130
20,10,1024,1048576,0.1229,0.1461,0,1.2205,0.0012
28,0,1,268435456,54.3085,54.3061,0,1.0000,1.0000
28,1,2,268435456,27.9488,54.2840,0,1.9431,0.9716
28,2,4,268435456,13.8422,54.1730,0,3.9234,0.9809
28,4,16,268435456,3.6587,54.3657,0,14.8437,0.9277
28,6,64,268435456,2.0493,53.7582,0,26.5010,0.4141
28,8,256,268435456,2.3053,54.6882,0,23.5581,0.0920
28,10,1024,268435456,2.8462,55.3612,0,19.0811,0.0186
