k,matrix_size,q,leaf_size,threads,t1_sec,tp_sec,speedup,efficiency
10,1024,3,8,48,1.460700,0.314100,4.6504,0.0969
10,1024,4,16,48,0.943200,0.219900,4.2892,0.0894
10,1024,5,32,48,0.949900,0.199200,4.7686,0.0993
10,1024,6,64,48,1.117700,0.154800,7.2203,0.1504
10,1024,7,128,48,1.298300,0.211500,6.1385,0.1279
10,1024,8,256,48,1.350600,0.521400,2.5903,0.0540
10,1024,9,512,48,3.405800,0.904800,3.7641,0.0784
11,2048,3,8,48,8.014600,0.780000,10.2751,0.2141
11,2048,4,16,48,4.595700,0.435000,10.5648,0.2201
11,2048,5,32,48,4.678500,0.435300,10.7478,0.2239
11,2048,6,64,48,5.175100,0.341800,15.1407,0.3154
11,2048,7,128,48,5.842100,0.354300,16.4891,0.3435
11,2048,8,256,48,6.894900,0.763200,9.0342,0.1882
11,2048,9,512,48,19.023600,1.417100,13.4243,0.2797
12,4096,3,8,48,56.244100,4.825300,11.6561,0.2428
12,4096,4,16,48,31.913300,1.828600,17.4523,0.3636
12,4096,5,32,48,28.665500,1.461100,19.6191,0.4087
12,4096,6,64,48,33.097500,1.380200,23.9802,0.4996
12,4096,7,128,48,38.862000,1.548600,25.0949,0.5228
12,4096,8,256,48,45.122400,2.212800,20.3915,0.4248
12,4096,9,512,48,135.658400,5.864200,23.1333,0.4819
13,8192,3,8,48,374.847400,26.908100,13.9307,0.2902
13,8192,4,16,48,213.391500,9.670200,22.0669,0.4597
13,8192,5,32,48,190.392600,7.491100,25.4158,0.5295
13,8192,6,64,48,231.952800,8.657400,26.7924,0.5582
13,8192,7,128,48,276.505900,9.175500,30.1352,0.6278
13,8192,8,256,48,327.475900,10.279900,31.8559,0.6637
13,8192,9,512,48,965.286300,38.648100,24.9763,0.5203
